subject,session,window_start_sec,window_end_sec,t_sec,ear,pitch,yaw,p_v,p_p,kss,y_binary
D,D,300.0,360.0,330.0,0.26631404284226956,-4.843133463996642,53.179349122959465,0.83,0.9166666666666666,8.0,1
D,D,330.0,390.0,360.0,0.25552190365735955,-7.211671540451394,53.81734724020415,0.13,0.6233333333333333,8.0,1
D,D,360.0,420.0,390.0,0.2600864282232796,-7.854473255804115,62.004809231479186,0.56,0.7933333333333333,8.0,1
D,D,390.0,450.0,420.0,0.2681372272680269,-5.82162362749944,53.03861358276363,0.45,0.95,9.0,1
D,D,420.0,480.0,450.0,0.21477669698092935,-0.8066634048786654,42.141343737747974,0.42,0.9333333333333333,9.0,1
D,D,450.0,510.0,480.0,0.20759574679323484,-0.7853620573259311,50.581400542541815,0.54,0.8733333333333333,9.0,1
D,D,480.0,540.0,510.0,0.2750276974791453,-4.8645292671373594,61.77300173017481,0.83,0.73,9.0,1
D,D,510.0,570.0,540.0,0.27366577024845656,-4.638493655135124,61.644857161930624,0.48,0.94,9.0,1
D,D,540.0,600.0,570.0,0.2676537247753142,-4.542484880559381,59.63503947367186,0.45,0.89,9.0,1
E,D,0.0,60.0,30.0,0.27624147471105204,-5.728235902842134,55.71662963661542,0.14,0.61,6.0,1
E,D,30.0,90.0,60.0,0.27240752652185507,-5.516359188358089,49.887003980126636,0.65,0.5433333333333333,6.0,1
E,D,60.0,120.0,90.0,0.2700278984748435,-4.680147012975495,47.72471356948778,0.66,0.5733333333333334,6.0,1
E,D,90.0,150.0,120.0,0.2629996320523806,-4.490756345165266,53.306401142738444,0.92,0.7433333333333333,7.0,1
E,D,120.0,180.0,150.0,0.2518555290956351,-6.592657633462112,29.900903053124196,0.09,0.5866666666666667,7.0,1
E,D,150.0,210.0,180.0,0.2520397075194283,-7.698475462368549,30.181456845314596,0.11,0.7033333333333334,7.0,1
E,D,180.0,240.0,210.0,0.24271430608034592,-6.0756696120981735,51.61077995832214,0.03,0.9,7.0,1
E,D,210.0,270.0,240.0,0.23397902711027546,-5.42729922786416,53.5026121434565,0.09,0.8133333333333334,7.0,1
E,D,330.0,390.0,360.0,0.23709691809002506,-6.820000192897711,11.390250279704912,0.05,0.7633333333333333,8.0,1
E,D,360.0,420.0,390.0,0.23073657266274403,-8.376380656765654,-18.04442613498474,0.08,0.9,8.0,1
E,D,420.0,480.0,450.0,0.2502347476238284,-5.139298280193091,29.745146724985883,0.18,0.62,8.0,1
E,D,450.0,510.0,480.0,0.2710168575105695,-8.488752133132794,8.10735636420598,0.58,0.7666666666666667,9.0,1
E,D,480.0,540.0,510.0,0.28686787028631233,-9.716818135998327,-17.283895003738124,0.51,0.7133333333333334,9.0,1
F,A,60.0,120.0,90.0,0.2723760598708761,-0.1084735765080396,2.1910090312815504,0.55,0.44,1.0,0
G,A,450.0,510.0,480.0,0.24733303149381977,5.200793674497715,-18.62151112707684,0.68,0.8266666666666667,5.0,0
G,A,480.0,540.0,510.0,0.24614813858918463,5.399433454870315,-20.014045612101196,0.41,0.6333333333333333,5.0,0
G,D,120.0,180.0,150.0,0.2336022564115425,2.3897815992971467,-30.44561416492796,0.41,0.3566666666666667,6.5,1
G,D,150.0,210.0,180.0,0.23962568113121352,2.7758879507100596,-30.809688388257104,0.66,0.3433333333333333,7.0,1
G,D,180.0,240.0,210.0,0.2373472841302011,4.650096235027893,-12.397345185856445,0.53,0.4266666666666667,7.0,1
G,D,210.0,270.0,240.0,0.24461010090886115,4.840899538234423,-18.565407869857754,0.61,0.42333333333333334,7.0,1
G,D,240.0,300.0,270.0,0.24995956011984924,3.8911598676484562,-24.66976729316844,0.66,0.23333333333333334,7.0,1
